start_time,end_time,label,labelid,duration,model
11.066666666666666,12.7,Gesture,1,1.6333333333333329,CNN
14.566666666666666,20.033333333333335,Gesture,2,5.466666666666669,CNN
26.133333333333333,45.46666666666667,Gesture,3,19.333333333333336,CNN
46.53333333333333,47.46666666666667,Gesture,10,0.9333333333333371,CNN
10.966666666666667,12.233333333333333,Gesture,1,1.2666666666666657,LightGBM
14.1,15.233333333333333,Gesture,2,1.1333333333333329,LightGBM
15.766666666666667,18.0,Gesture,4,2.2333333333333325,LightGBM
18.633333333333333,19.333333333333332,Gesture,8,0.6999999999999993,LightGBM
20.3,20.5,Gesture,10,0.1999999999999993,LightGBM
25.966666666666665,39.5,Gesture,11,13.533333333333335,LightGBM
40.46666666666667,41.03333333333333,Gesture,17,0.5666666666666629,LightGBM
41.766666666666666,42.166666666666664,Gesture,18,0.3999999999999986,LightGBM
42.7,46.233333333333334,Gesture,19,3.5333333333333314,LightGBM
48.266666666666666,48.36666666666667,Gesture,22,0.10000000000000142,LightGBM
